YEAR,COUNTRY_CODE,COUNTRY,CATEGORY_CODE,CATEGORY,PARENT,VALUE,UNIT,FOOTNOTES
2014,6,Czech Republic,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.8,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.5,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.2,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.2,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.3,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.8,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.7,Percentage of gross domestic product (GDP),
2014,10,France,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.8,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,4.8,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.8,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,4.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.7,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.5,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.5,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,4.3,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.8,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.3,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.3,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.5,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,3.3,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.4,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.8,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.7,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.6,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.9,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.1,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.3,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.6,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0102,Foreign economic aid,GF01,0.3,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0102,Foreign economic aid,GF01,1.0,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0102,Foreign economic aid,GF01,0.3,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0102,Foreign economic aid,GF01,0.2,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0102,Foreign economic aid,GF01,0.3,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0102,Foreign economic aid,GF01,0.1,Percentage of gross domestic product (GDP),
2014,10,France,GF0102,Foreign economic aid,GF01,0.2,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0102,Foreign economic aid,GF01,0.1,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0102,Foreign economic aid,GF01,0.6,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0102,Foreign economic aid,GF01,0.5,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0102,Foreign economic aid,GF01,0.1,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0102,Foreign economic aid,GF01,0.1,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0102,Foreign economic aid,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0102,Foreign economic aid,GF01,0.5,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0102,Foreign economic aid,GF01,0.8,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0102,Foreign economic aid,GF01,0.6,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0102,Foreign economic aid,GF01,0.2,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0102,Foreign economic aid,GF01,0.9,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0102,Foreign economic aid,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0103,General services,GF01,1.0,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0103,General services,GF01,0.1,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF0103,General services,GF01,0.1,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0103,General services,GF01,0.5,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0103,General services,GF01,1.0,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0103,General services,GF01,0.7,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0103,General services,GF01,0.3,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0103,General services,GF01,3.7,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0103,General services,GF01,1.0,Percentage of gross domestic product (GDP),
2014,10,France,GF0103,General services,GF01,1.9,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0103,General services,GF01,0.2,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0103,General services,GF01,0.7,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0103,General services,GF01,3.1,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0103,General services,GF01,0.2,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0103,General services,GF01,0.4,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0103,General services,GF01,1.8,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0103,General services,GF01,0.9,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0103,General services,GF01,1.1,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0103,General services,GF01,0.3,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0103,General services,GF01,1.2,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0103,General services,GF01,0.1,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0103,General services,GF01,0.2,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0103,General services,GF01,0.3,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0103,General services,GF01,0.3,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0103,General services,GF01,0.2,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0103,General services,GF01,3.8,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0103,General services,GF01,2.4,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0103,General services,GF01,0.7,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0103,General services,GF01,1.2,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0103,General services,GF01,0.5,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0103,General services,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0104,Basic research,GF01,1.2,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0104,Basic research,GF01,1.7,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0104,Basic research,GF01,0.9,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0104,Basic research,GF01,0.6,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0104,Basic research,GF01,0.2,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),
2014,10,France,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0104,Basic research,GF01,0.1,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0104,Basic research,GF01,:,Percentage of gross domestic product (GDP),z
2014,19,Luxembourg,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0104,Basic research,GF01,0.3,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0104,Basic research,GF01,1.0,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0104,Basic research,GF01,1.6,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0104,Basic research,GF01,0.0,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0104,Basic research,GF01,0.1,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0104,Basic research,GF01,0.5,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0104,Basic research,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0105,R&D General public services,GF01,:,Percentage of gross domestic product (GDP),z
2014,6,Czech Republic,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0105,R&D General public services,GF01,0.4,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,10,France,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0105,R&D General public services,GF01,:,Percentage of gross domestic product (GDP),z
2014,19,Luxembourg,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0105,R&D General public services,GF01,0.2,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0105,R&D General public services,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0105,R&D General public services,GF01,0.1,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0105,R&D General public services,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF0106,General public services n.e.c.,GF01,0.2,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0106,General public services n.e.c.,GF01,1.0,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,10,France,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0106,General public services n.e.c.,GF01,0.3,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0106,General public services n.e.c.,GF01,-0.1,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0106,General public services n.e.c.,GF01,0.2,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0106,General public services n.e.c.,GF01,0.3,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0106,General public services n.e.c.,GF01,0.1,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0106,General public services n.e.c.,GF01,0.6,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0106,General public services n.e.c.,GF01,0.0,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0106,General public services n.e.c.,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0107,Public debt transactions,GF01,3.4,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0107,Public debt transactions,GF01,0.9,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF0107,Public debt transactions,GF01,1.3,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0107,Public debt transactions,GF01,1.6,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0107,Public debt transactions,GF01,1.9,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0107,Public debt transactions,GF01,0.3,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0107,Public debt transactions,GF01,3.9,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0107,Public debt transactions,GF01,4.2,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0107,Public debt transactions,GF01,3.6,Percentage of gross domestic product (GDP),
2014,10,France,GF0107,Public debt transactions,GF01,2.3,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0107,Public debt transactions,GF01,3.9,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0107,Public debt transactions,GF01,4.7,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0107,Public debt transactions,GF01,2.9,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0107,Public debt transactions,GF01,1.7,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0107,Public debt transactions,GF01,1.8,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0107,Public debt transactions,GF01,0.5,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0107,Public debt transactions,GF01,4.1,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0107,Public debt transactions,GF01,2.8,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0107,Public debt transactions,GF01,1.7,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0107,Public debt transactions,GF01,2.7,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0107,Public debt transactions,GF01,2.0,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0107,Public debt transactions,GF01,5.1,Percentage of gross domestic product (GDP),
2014,25,Romania,GF0107,Public debt transactions,GF01,1.7,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0107,Public debt transactions,GF01,3.3,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0107,Public debt transactions,GF01,2.0,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0107,Public debt transactions,GF01,1.3,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0107,Public debt transactions,GF01,0.8,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0107,Public debt transactions,GF01,2.7,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0107,Public debt transactions,GF01,4.8,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0107,Public debt transactions,GF01,0.8,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0107,Public debt transactions,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0108,Transfers of a general character between different levels of government,GF01,:,Percentage of gross domestic product (GDP),z
2014,6,Czech Republic,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,11,Germany,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,12,Greece,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,28,Spain,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,10,France,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,20,Malta,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,1,Austria,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,23,Poland,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF0108,Transfers of a general character between different levels of government,GF01,:,Percentage of gross domestic product (GDP),z
2014,25,Romania,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,9,Finland,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF0108,Transfers of a general character between different levels of government,GF01,0.0,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF0108,Transfers of a general character between different levels of government,GF01,:,Percentage of gross domestic product (GDP),
2014,2,Belgium,GF02,Defence,,0.9,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF02,Defence,,1.4,Percentage of gross domestic product (GDP),
